,Unnamed: 0,game_nr,num_iter,color,winner,RL Methods
0,0,0,1000,white (X),white (X),MCTS (Memory)
1,1,1,1000,black (O),black (O),MCTS (Memory)
2,2,2,1000,white (X),white (X),MCTS (Memory)
3,3,3,1000,black (O),black (O),MCTS (Memory)
4,4,4,1000,white (X),white (X),MCTS (Memory)
5,5,5,1000,black (O),black (O),MCTS (Memory)
6,6,6,1000,white (X),white (X),MCTS (Memory)
7,7,7,1000,black (O),black (O),MCTS (Memory)
8,8,8,1000,white (X),white (X),MCTS (Memory)
9,9,9,1000,black (O),black (O),MCTS (Memory)
10,10,10,1000,white (X),white (X),MCTS (Memory)
11,11,11,1000,black (O),black (O),MCTS (Memory)
12,12,12,1000,white (X),white (X),MCTS (Memory)
13,13,13,1000,black (O),black (O),MCTS (Memory)
14,14,14,1000,white (X),white (X),MCTS (Memory)
15,15,15,1000,black (O),black (O),MCTS (Memory)
16,16,16,1000,white (X),white (X),MCTS (Memory)
17,17,17,1000,black (O),black (O),MCTS (Memory)
18,18,18,1000,white (X),white (X),MCTS (Memory)
19,19,19,1000,black (O),black (O),MCTS (Memory)
20,20,20,1000,white (X),white (X),MCTS (Memory)
21,21,21,1000,black (O),black (O),MCTS (Memory)
22,22,22,1000,white (X),white (X),MCTS (Memory)
23,23,23,1000,black (O),black (O),MCTS (Memory)
24,24,24,1000,white (X),white (X),MCTS (Memory)
25,25,25,1000,black (O),black (O),MCTS (Memory)
26,26,26,1000,white (X),white (X),MCTS (Memory)
27,27,27,1000,black (O),black (O),MCTS (Memory)
28,28,28,1000,white (X),white (X),MCTS (Memory)
29,29,29,1000,black (O),black (O),MCTS (Memory)
30,30,30,1000,white (X),white (X),MCTS (Memory)
31,31,31,1000,black (O),black (O),MCTS (Memory)
32,32,32,1000,white (X),white (X),MCTS (Memory)
33,33,33,1000,black (O),black (O),MCTS (Memory)
34,34,34,1000,white (X),white (X),MCTS (Memory)
35,35,35,1000,black (O),black (O),MCTS (Memory)
36,36,36,1000,white (X),white (X),MCTS (Memory)
37,37,37,1000,black (O),black (O),MCTS (Memory)
38,38,38,1000,white (X),white (X),MCTS (Memory)
39,39,39,1000,black (O),black (O),MCTS (Memory)
40,40,40,1000,white (X),white (X),MCTS (Memory)
41,41,41,1000,black (O),black (O),MCTS (Memory)
42,42,42,1000,white (X),white (X),MCTS (Memory)
43,43,43,1000,black (O),black (O),MCTS (Memory)
44,44,44,1000,white (X),white (X),MCTS (Memory)
45,45,45,1000,black (O),black (O),MCTS (Memory)
46,46,46,1000,white (X),white (X),MCTS (Memory)
47,47,47,1000,black (O),black (O),MCTS (Memory)
48,48,48,1000,white (X),white (X),MCTS (Memory)
49,49,49,1000,black (O),black (O),MCTS (Memory)
50,50,50,1000,white (X),white (X),MCTS (Memory)
51,51,51,1000,black (O),black (O),MCTS (Memory)
52,52,52,1000,white (X),black (O),MCTS (Memory)
53,53,53,1000,black (O),white (X),MCTS (Memory)
54,54,54,1000,white (X),black (O),MCTS (Memory)
55,55,55,1000,black (O),white (X),MCTS (Memory)
56,56,56,1000,white (X),black (O),MCTS (Memory)
57,57,57,1000,black (O),white (X),MCTS (Memory)
58,58,58,1000,white (X),black (O),MCTS (Memory)
59,59,59,1000,black (O),white (X),MCTS (Memory)
60,60,60,1000,white (X),black (O),MCTS (Memory)
61,61,61,1000,black (O),white (X),MCTS (Memory)
62,62,62,1000,white (X),black (O),MCTS (Memory)
63,63,63,1000,black (O),white (X),MCTS (Memory)
64,64,64,1000,white (X),black (O),MCTS (Memory)
65,65,65,1000,black (O),white (X),MCTS (Memory)
66,66,66,1000,white (X),black (O),MCTS (Memory)
67,67,67,1000,black (O),white (X),MCTS (Memory)
68,68,68,1000,white (X),black (O),MCTS (Memory)
69,69,69,1000,black (O),white (X),MCTS (Memory)
70,70,70,1000,white (X),black (O),MCTS (Memory)
71,71,71,1000,black (O),white (X),MCTS (Memory)
72,72,72,1000,white (X),black (O),MCTS (Memory)
73,73,73,1000,black (O),white (X),MCTS (Memory)
74,74,74,1000,white (X),black (O),MCTS (Memory)
75,75,75,1000,black (O),white (X),MCTS (Memory)
76,76,76,1000,white (X),black (O),MCTS (Memory)
77,77,77,1000,black (O),,MCTS (Memory)
78,78,78,1000,white (X),,MCTS (Memory)
79,79,79,1000,black (O),,MCTS (Memory)
80,80,80,1000,white (X),,MCTS (Memory)
81,81,81,1000,black (O),,MCTS (Memory)
82,82,82,1000,white (X),,MCTS (Memory)
83,83,83,1000,black (O),,MCTS (Memory)
84,84,84,1000,white (X),,MCTS (Memory)
85,85,85,1000,black (O),,MCTS (Memory)
86,86,86,1000,white (X),,MCTS (Memory)
87,87,87,1000,black (O),,MCTS (Memory)
88,88,88,1000,white (X),,MCTS (Memory)
89,89,89,1000,black (O),,MCTS (Memory)
90,90,90,1000,white (X),,MCTS (Memory)
91,91,91,1000,black (O),,MCTS (Memory)
92,92,92,1000,white (X),,MCTS (Memory)
93,93,93,1000,black (O),,MCTS (Memory)
94,94,94,1000,white (X),,MCTS (Memory)
95,95,95,1000,black (O),,MCTS (Memory)
96,96,96,1000,white (X),,MCTS (Memory)
97,97,97,1000,black (O),,MCTS (Memory)
98,98,98,1000,white (X),,MCTS (Memory)
99,99,99,1000,black (O),,MCTS (Memory)
