,game_nr,num_iter,mcts_color,winner
0,0,1000,white (X),black (O)
1,1,1000,black (O),white (X)
2,2,1000,white (X),white (X)
3,3,1000,black (O),black (O)
4,4,1000,white (X),white (X)
5,5,1000,black (O),black (O)
6,6,1000,white (X),black (O)
7,7,1000,black (O),white (X)
8,8,1000,white (X),white (X)
9,9,1000,black (O),white (X)
10,10,1000,white (X),black (O)
11,11,1000,black (O),
12,12,1000,white (X),black (O)
13,13,1000,black (O),black (O)
14,14,1000,white (X),white (X)
15,15,1000,black (O),
16,16,1000,white (X),black (O)
17,17,1000,black (O),black (O)
18,18,1000,white (X),black (O)
19,19,1000,black (O),white (X)
20,20,1000,white (X),white (X)
21,21,1000,black (O),black (O)
22,22,1000,white (X),black (O)
23,23,1000,black (O),
24,24,1000,white (X),white (X)
25,25,1000,black (O),white (X)
26,26,1000,white (X),black (O)
27,27,1000,black (O),black (O)
28,28,1000,white (X),white (X)
29,29,1000,black (O),white (X)
30,30,1000,white (X),white (X)
31,31,1000,black (O),
32,32,1000,white (X),white (X)
33,33,1000,black (O),white (X)
34,34,1000,white (X),black (O)
35,35,1000,black (O),black (O)
36,36,1000,white (X),black (O)
37,37,1000,black (O),black (O)
38,38,1000,white (X),white (X)
39,39,1000,black (O),black (O)
40,40,1000,white (X),
41,41,1000,black (O),black (O)
42,42,1000,white (X),white (X)
43,43,1000,black (O),white (X)
44,44,1000,white (X),
45,45,1000,black (O),black (O)
46,46,1000,white (X),
47,47,1000,black (O),black (O)
48,48,1000,white (X),white (X)
49,49,1000,black (O),white (X)
50,50,1000,white (X),white (X)
51,51,1000,black (O),white (X)
52,52,1000,white (X),black (O)
53,53,1000,black (O),black (O)
54,54,1000,white (X),
55,55,1000,black (O),white (X)
56,56,1000,white (X),black (O)
57,57,1000,black (O),
58,58,1000,white (X),white (X)
59,59,1000,black (O),white (X)
60,60,1000,white (X),black (O)
61,61,1000,black (O),black (O)
62,62,1000,white (X),white (X)
63,63,1000,black (O),white (X)
64,64,1000,white (X),white (X)
65,65,1000,black (O),white (X)
66,66,1000,white (X),white (X)
67,67,1000,black (O),black (O)
68,68,1000,white (X),
69,69,1000,black (O),white (X)
70,70,1000,white (X),white (X)
71,71,1000,black (O),black (O)
72,72,1000,white (X),white (X)
73,73,1000,black (O),black (O)
74,74,1000,white (X),black (O)
75,75,1000,black (O),black (O)
76,76,1000,white (X),black (O)
77,77,1000,black (O),white (X)
78,78,1000,white (X),white (X)
79,79,1000,black (O),white (X)
80,80,1000,white (X),white (X)
81,81,1000,black (O),black (O)
82,82,1000,white (X),black (O)
83,83,1000,black (O),white (X)
84,84,1000,white (X),white (X)
85,85,1000,black (O),black (O)
86,86,1000,white (X),white (X)
87,87,1000,black (O),white (X)
88,88,1000,white (X),black (O)
89,89,1000,black (O),white (X)
90,90,1000,white (X),white (X)
91,91,1000,black (O),black (O)
92,92,1000,white (X),white (X)
93,93,1000,black (O),black (O)
94,94,1000,white (X),white (X)
95,95,1000,black (O),white (X)
96,96,1000,white (X),white (X)
97,97,1000,black (O),black (O)
98,98,1000,white (X),
99,99,1000,black (O),white (X)
