,game_nr,ppo_color,winner,ppo_wins,ppo_loose,draw
0,0,white (X),white (X),1,0,0
1,1,black (O),black (O),1,0,0
2,2,white (X),black (O),0,1,0
3,3,black (O),white (X),0,1,0
4,4,white (X),black (O),0,1,0
5,5,black (O),white (X),0,1,0
6,6,white (X),white (X),1,0,0
7,7,black (O),black (O),1,0,0
8,8,white (X),black (O),0,1,0
9,9,black (O),black (O),1,0,0
10,10,white (X),black (O),0,1,0
11,11,black (O),white (X),0,1,0
12,12,white (X),white (X),1,0,0
13,13,black (O),black (O),1,0,0
14,14,white (X),black (O),0,1,0
15,15,black (O),black (O),1,0,0
16,16,white (X),,0,0,1
17,17,black (O),black (O),1,0,0
18,18,white (X),white (X),1,0,0
19,19,black (O),white (X),0,1,0
20,20,white (X),white (X),1,0,0
21,21,black (O),black (O),1,0,0
22,22,white (X),white (X),1,0,0
23,23,black (O),black (O),1,0,0
24,24,white (X),white (X),1,0,0
25,25,black (O),black (O),1,0,0
26,26,white (X),black (O),0,1,0
27,27,black (O),black (O),1,0,0
28,28,white (X),white (X),1,0,0
29,29,black (O),white (X),0,1,0
30,30,white (X),white (X),1,0,0
31,31,black (O),black (O),1,0,0
32,32,white (X),white (X),1,0,0
33,33,black (O),black (O),1,0,0
34,34,white (X),black (O),0,1,0
35,35,black (O),black (O),1,0,0
36,36,white (X),black (O),0,1,0
37,37,black (O),white (X),0,1,0
38,38,white (X),white (X),1,0,0
39,39,black (O),black (O),1,0,0
40,40,white (X),white (X),1,0,0
41,41,black (O),black (O),1,0,0
42,42,white (X),white (X),1,0,0
43,43,black (O),black (O),1,0,0
44,44,white (X),black (O),0,1,0
45,45,black (O),black (O),1,0,0
46,46,white (X),white (X),1,0,0
47,47,black (O),black (O),1,0,0
48,48,white (X),white (X),1,0,0
49,49,black (O),black (O),1,0,0
50,50,white (X),white (X),1,0,0
51,51,black (O),black (O),1,0,0
52,52,white (X),white (X),1,0,0
53,53,black (O),black (O),1,0,0
54,54,white (X),white (X),1,0,0
55,55,black (O),black (O),1,0,0
56,56,white (X),white (X),1,0,0
57,57,black (O),black (O),1,0,0
58,58,white (X),white (X),1,0,0
59,59,black (O),black (O),1,0,0
60,60,white (X),black (O),0,1,0
61,61,black (O),black (O),1,0,0
62,62,white (X),white (X),1,0,0
63,63,black (O),,0,0,1
64,64,white (X),white (X),1,0,0
65,65,black (O),white (X),0,1,0
66,66,white (X),white (X),1,0,0
67,67,black (O),black (O),1,0,0
68,68,white (X),black (O),0,1,0
69,69,black (O),black (O),1,0,0
70,70,white (X),white (X),1,0,0
71,71,black (O),black (O),1,0,0
72,72,white (X),white (X),1,0,0
73,73,black (O),white (X),0,1,0
74,74,white (X),black (O),0,1,0
75,75,black (O),white (X),0,1,0
76,76,white (X),black (O),0,1,0
77,77,black (O),black (O),1,0,0
78,78,white (X),white (X),1,0,0
79,79,black (O),white (X),0,1,0
80,80,white (X),white (X),1,0,0
81,81,black (O),black (O),1,0,0
82,82,white (X),black (O),0,1,0
83,83,black (O),black (O),1,0,0
84,84,white (X),white (X),1,0,0
85,85,black (O),white (X),0,1,0
86,86,white (X),black (O),0,1,0
87,87,black (O),white (X),0,1,0
88,88,white (X),black (O),0,1,0
89,89,black (O),black (O),1,0,0
90,90,white (X),white (X),1,0,0
91,91,black (O),white (X),0,1,0
92,92,white (X),white (X),1,0,0
93,93,black (O),white (X),0,1,0
94,94,white (X),white (X),1,0,0
95,95,black (O),white (X),0,1,0
96,96,white (X),white (X),1,0,0
97,97,black (O),white (X),0,1,0
98,98,white (X),white (X),1,0,0
99,99,black (O),black (O),1,0,0
